"Nº","NOMBRE","PRESENTACIÓN DE ESCRITURA (Art.5°)","REPAROS
A ESCRITURA DE
CONSTITUCIÓN
(Art.5º, inc.3°)","","PARTIDO EN
FORMACIÓN
(Art.5º, inc.4º)","","CADUCIDAD POR NO PRESENTAR AFILIADOS
EN PLAZO LEGAL
(Art.7°)","","INSCRIPCIÓN EN REGISTRO DE PARTIDOS POLÍTICOS
(Art.14º, inc.1º)","","","DISOLUCIÓN
(Art.42º)","PARTIDOS ACTIVOS Y TIEMPO DE VIGENCIA (Hasta 6 de junio de 2024)","TIEMPO DE EXISTENCIA DEL PARTIDO","years","months","days","Meses de vida","Idia","Imes","Iaño","Ddia","Dmes","Dyear","Fecha Inicio","Fecha Disolución"
"68"," PARTIDO UNIÓN DE CENTRO CENTRO Fusión de Partido Unión de Centro Liberal y Partido Unión de Centro Centro Progresista","23.04.98","14.04.98","","07.05.98","","","","19.06.98","","","03.05.02
","","4 AÑOS, 0 MESES Y 9 DÍAS","4","0","9","48","23","4","1998","3","5","1902","1998/04/23","1902/05/03"
"69"," PARTIDO DEMOCRÁTICO NACIONAL <<PADENA>>","25.07.98","23.07.98","","13.10.98","","18.05.99","","","","","18.05.99","","0 AÑOS, 9 MESES Y 21 DÍAS","0","9","21","9","25","7","1998","18","5","1999","1998/07/25","1999/05/18"
"70"," PARTIDO HUMANISTA (PH)","24.08.98","01.02.23","","09.09.98","","","","31.03.23","","","","25 AÑOS, 9 MESES Y 11 DÍAS","","25","9","11","309","24","8","1998","","","","1998/08/24",""
"71"," PARTIDO REGIONALISTA","13.10.98","25.10.98","","","","","","","","","","","","","","","0","13","10","1998","13","10","1998","1998/10/13","1998/10/13"
"72"," PARTIDO ALTERNATIVA DE CAMBIO","10.03.99","15.02.99","","23.03.99","","25.10.99","","","","","25.10.99","","0 AÑOS, 7 MESES Y 15 DÍAS","0","7","15","7","10","3","1999","25","10","1999","1999/03/10","1999/10/25"
"73"," PARTIDO NUEVA DEMOCRACIA","07.04.99","14.04.99","","","","","","","","","","","","","","","0","7","4","1999","7","4","1999","1999/04/07","1999/04/07"
"74"," PARTIDO DE LAS REGIONES","24.07.00","07.07.00","","09.09.00","","10.04.01","","","","","10.04.01","","0 AÑOS, 8 MESES Y 14 DÍAS","0","8","14","8","24","7","2000","10","4","2001","2000/07/24","2001/04/10"
"75"," ALIANZA NACIONAL DE LOS INDEPENDIENTES","09.07.01","14.06.01","","20.08.01","","","","17.05.02","","","04.07.06","","4 AÑOS, 11 MESES Y 23 DÍAS","4","11","23","59","9","7","2001","4","7","2006","2001/07/09","2006/07/04"
"76"," PARTIDO POR EL TRABAJO","23.07.01","09.07.01","","31.07.01","","","","24.12.01","","","26.06.02","","0 AÑOS, 11 MESES Y 3 DÍAS","0","11","3","11","23","7","2001","26","6","2002","2001/07/23","2002/06/26"
"77"," PARTIDO POPULAR DE CHILE","07.11.01","20.11.02","","","","","","","","","","","","","","","0","7","11","2001","7","11","2001","2001/11/07","2001/11/07"
